Timestamp,DL_bitrate
2017.11.24_14.35.47,1051
2017.11.24_14.35.48,581
2017.11.24_14.35.49,590
2017.11.24_14.35.50,575
2017.11.24_14.35.51,536
2017.11.24_14.35.52,436
2017.11.24_14.35.53,335
2017.11.24_14.35.55,391
2017.11.24_14.35.56,300
2017.11.24_14.35.57,324
2017.11.24_14.35.58,300
2017.11.24_14.35.59,300
2017.11.24_14.36.00,300
2017.11.24_14.36.01,300
2017.11.24_14.36.02,300
2017.11.24_14.36.03,300
2017.11.24_14.36.04,300
2017.11.24_14.36.06,300
2017.11.24_14.36.07,300
2017.11.24_14.36.08,300
2017.11.24_14.36.09,300
2017.11.24_14.36.10,300
2017.11.24_14.36.11,300
2017.11.24_14.36.12,300
2017.11.24_14.36.13,300
2017.11.24_14.36.15,300
2017.11.24_14.36.16,300
2017.11.24_14.36.17,300
2017.11.24_14.36.18,300
2017.11.24_14.36.16,300
2017.11.24_14.36.18,300
2017.11.24_14.36.19,300
2017.11.24_14.36.20,1196
2017.11.24_14.36.21,827
2017.11.24_14.36.22,1621
2017.11.24_14.36.23,1297
2017.11.24_14.36.24,1522
2017.11.24_14.36.25,1565
2017.11.24_14.36.26,2348
2017.11.24_14.36.27,2952
2017.11.24_14.36.28,2069
2017.11.24_14.36.30,1297
2017.11.24_14.36.31,671
2017.11.24_14.36.32,300
2017.11.24_14.36.33,300
2017.11.24_14.36.34,1129
2017.11.24_14.36.35,1219
2017.11.24_14.36.36,928
2017.11.24_14.36.37,794
2017.11.24_14.36.38,1263
2017.11.24_14.36.39,1465
2017.11.24_14.36.40,1554
2017.11.24_14.36.42,1533
2017.11.24_14.36.43,732
2017.11.24_14.36.44,604
2017.11.24_14.36.45,667
2017.11.24_14.36.46,469
2017.11.24_14.36.47,807
2017.11.24_14.36.48,570
2017.11.24_14.36.49,560
2017.11.24_14.36.50,582
2017.11.24_14.36.51,447
2017.11.24_14.36.52,413
2017.11.24_14.36.54,525
2017.11.24_14.36.55,678
2017.11.24_14.36.56,873
2017.11.24_14.36.57,810
2017.11.24_14.36.58,626
2017.11.24_14.36.59,525
2017.11.24_14.37.00,300
2017.11.24_14.37.01,559
2017.11.24_14.37.02,570
2017.11.24_14.37.03,402
2017.11.24_14.37.05,872
2017.11.24_14.37.06,570
2017.11.24_14.37.07,447
2017.11.24_14.37.08,380
2017.11.24_14.37.09,300
2017.11.24_14.37.10,300
2017.11.24_14.37.11,402
2017.11.24_14.37.12,380
2017.11.24_14.37.13,300
2017.11.24_14.37.14,300
2017.11.24_14.37.15,300
2017.11.24_14.37.17,300
2017.11.24_14.37.18,300
2017.11.24_14.37.19,300
2017.11.24_14.37.20,380
2017.11.24_14.37.21,313
2017.11.24_14.37.22,436
2017.11.24_14.37.23,369
2017.11.24_14.37.24,301
2017.11.24_14.37.25,300
2017.11.24_14.37.26,300
2017.11.24_14.37.28,637
2017.11.24_14.37.29,782
2017.11.24_14.37.30,570
2017.11.24_14.37.31,300
2017.11.24_14.37.32,413
2017.11.24_14.37.33,402
2017.11.24_14.37.34,648
2017.11.24_14.37.35,300
2017.11.24_14.37.36,300
2017.11.24_14.37.37,827
2017.11.24_14.37.39,838
2017.11.24_14.37.40,851
2017.11.24_14.37.41,548
2017.11.24_14.37.42,335
2017.11.24_14.37.43,300
2017.11.24_14.37.44,300
2017.11.24_14.37.45,458
2017.11.24_14.37.46,424
2017.11.24_14.37.47,436
2017.11.24_14.37.48,300
2017.11.24_14.37.49,300
2017.11.24_14.37.51,300
2017.11.24_14.37.52,313
2017.11.24_14.37.53,300
2017.11.24_14.37.54,300
2017.11.24_14.37.55,300
2017.11.24_14.37.56,626
2017.11.24_14.37.57,548
2017.11.24_14.37.58,300
2017.11.24_14.37.59,300
2017.11.24_14.38.00,504
2017.11.24_14.38.02,592
2017.11.24_14.38.03,302
2017.11.24_14.38.04,300
2017.11.24_14.38.05,300
2017.11.24_14.38.06,660
2017.11.24_14.38.07,740
2017.11.24_14.38.08,592
2017.11.24_14.38.09,480
2017.11.24_14.38.10,300
2017.11.24_14.38.12,300
2017.11.24_14.38.13,581
2017.11.24_14.38.14,300
2017.11.24_14.38.15,300
2017.11.24_14.38.16,369
2017.11.24_14.38.17,300
2017.11.24_14.38.18,300
2017.11.24_14.38.19,300
2017.11.24_14.38.21,300
2017.11.24_14.38.22,300
2017.11.24_14.38.23,300
2017.11.24_14.38.24,300
2017.11.24_14.38.25,300
2017.11.24_14.38.26,300
2017.11.24_14.38.27,300
2017.11.24_14.38.28,300
2017.11.24_14.38.29,300
2017.11.24_14.38.31,300
