Timestamp,DL_bitrate
2018.02.02_11.22.59,9271
2018.02.02_11.23.00,8197
2018.02.02_11.23.01,7124
2018.02.02_11.23.02,15501
2018.02.02_11.23.03,12056
2018.02.02_11.23.04,5032
2018.02.02_11.23.06,4048
2018.02.02_11.23.07,10199
2018.02.02_11.23.08,9752
2018.02.02_11.23.09,8276
2018.02.02_11.23.10,10278
2018.02.02_11.23.11,8287
2018.02.02_11.23.13,4898
2018.02.02_11.23.14,7549
2018.02.02_11.23.15,9841
2018.02.02_11.23.16,14416
2018.02.02_11.23.17,10949
2018.02.02_11.23.18,8477
2018.02.02_11.23.19,8790
2018.02.02_11.23.20,5267
2018.02.02_11.23.22,5401
2018.02.02_11.23.23,6084
2018.02.02_11.23.24,3165
2018.02.02_11.23.25,4585
2018.02.02_11.23.26,3075
2018.02.02_11.23.27,2214
2018.02.02_11.23.28,6374
2018.02.02_11.23.29,4529
2018.02.02_11.23.31,2494
2018.02.02_11.23.32,5949
2018.02.02_11.23.33,2628
2018.02.02_11.23.34,4729
2018.02.02_11.23.35,2669
2018.02.02_11.23.36,5838
2018.02.02_11.23.37,8768
2018.02.02_11.23.38,8354
2018.02.02_11.23.40,5480
2018.02.02_11.23.41,2482
2018.02.02_11.23.42,7896
2018.02.02_11.23.43,8533
2018.02.02_11.23.44,7113
2018.02.02_11.23.45,9651
2018.02.02_11.23.46,10893
2018.02.02_11.23.47,6061
2018.02.02_11.23.49,6509
2018.02.02_11.23.50,9260
2018.02.02_11.23.51,6598
2018.02.02_11.23.52,9215
2018.02.02_11.23.53,15501
2018.02.02_11.23.54,20567
2018.02.02_11.23.55,13722
2018.02.02_11.23.56,5782
2018.02.02_11.23.58,8745
2018.02.02_11.23.59,10937
2018.02.02_11.24.00,6397
2018.02.02_11.24.01,5703
2018.02.02_11.24.02,13107
2018.02.02_11.24.03,8600
2018.02.02_11.24.04,15735
2018.02.02_11.24.06,9159
2018.02.02_11.24.07,10915
2018.02.02_11.24.08,12280
2018.02.02_11.24.09,16406
2018.02.02_11.24.10,7772
2018.02.02_11.24.11,3399
2018.02.02_11.24.12,1230
2018.02.02_11.24.13,2572
2018.02.02_11.24.15,3455
2018.02.02_11.24.16,11295
2018.02.02_11.24.17,9841
2018.02.02_11.24.18,5547
2018.02.02_11.24.19,11978
2018.02.02_11.24.20,17156
2018.02.02_11.24.21,16239
2018.02.02_11.24.22,19482
2018.02.02_11.24.23,21070
2018.02.02_11.24.25,27769
2018.02.02_11.24.26,16720
2018.02.02_11.24.27,18632
2018.02.02_11.24.28,16104
2018.02.02_11.24.29,21193
2018.02.02_11.24.30,24571
2018.02.02_11.24.31,24358
