Timestamp,DL_bitrate
2018.02.02_10.34.01,14080
2018.02.02_10.34.02,13409
2018.02.02_10.34.03,14807
2018.02.02_10.34.04,15098
2018.02.02_10.34.05,11810
2018.02.02_10.34.06,11955
2018.02.02_10.34.07,14629
2018.02.02_10.34.08,11553
2018.02.02_10.34.10,6956
2018.02.02_10.34.11,4876
2018.02.02_10.34.12,6342
2018.02.02_10.34.13,8477
2018.02.02_10.34.14,8958
2018.02.02_10.34.15,4417
2018.02.02_10.34.16,12637
2018.02.02_10.34.17,14270
2018.02.02_10.34.18,18811
2018.02.02_10.34.20,16451
2018.02.02_10.34.21,19493
2018.02.02_10.34.22,15468
2018.02.02_10.34.23,12660
2018.02.02_10.34.24,13901
2018.02.02_10.34.25,17547
2018.02.02_10.34.26,16988
2018.02.02_10.34.27,18509
2018.02.02_10.34.28,12291
2018.02.02_10.34.30,9786
2018.02.02_10.34.31,9215
2018.02.02_10.34.32,7884
2018.02.02_10.34.33,6945
2018.02.02_10.34.34,10143
2018.02.02_10.34.35,11196
2018.02.02_10.34.37,10331
2018.02.02_10.34.38,8175
2018.02.02_10.34.39,5647
2018.02.02_10.34.40,6128
2018.02.02_10.34.41,1375
2018.02.02_10.34.42,2650
2018.02.02_10.34.44,8443
2018.02.02_10.34.45,4999
2018.02.02_10.34.46,4216
2018.02.02_10.34.47,4026
2018.02.02_10.34.49,4317
2018.02.02_10.34.50,3735
2018.02.02_10.34.51,3198
2018.02.02_10.34.52,648
2018.02.02_10.34.53,1163
2018.02.02_10.34.54,2538
2018.02.02_10.34.55,4730
2018.02.02_10.34.57,3042
2018.02.02_10.34.59,2281
2018.02.02_10.35.00,2986
2018.02.02_10.35.01,4194
2018.02.02_10.35.02,458
2018.02.02_10.35.04,536
2018.02.02_10.35.07,2303
2018.02.02_10.35.08,2247
2018.02.02_10.35.09,5088
2018.02.02_10.35.10,3947
2018.02.02_10.35.11,6274
2018.02.02_10.35.12,6229
2018.02.02_10.35.13,4809
2018.02.02_10.35.14,2460
2018.02.02_10.35.15,1476
2018.02.02_10.35.16,1241
2018.02.02_10.35.18,436
2018.02.02_10.35.19,300
2018.02.02_10.35.26,300
2018.02.02_10.35.27,300
2018.02.02_10.35.28,300
2018.02.02_10.35.29,300
2018.02.02_10.35.31,300
2018.02.02_10.35.36,300
2018.02.02_10.35.37,300
2018.02.02_10.35.38,300
2018.02.02_10.35.40,300
2018.02.02_10.35.43,300
2018.02.02_10.35.44,300
2018.02.02_10.35.45,300
2018.02.02_10.35.46,300
2018.02.02_10.35.47,300
2018.02.02_10.35.55,300
2018.02.02_10.36.01,300
2018.02.02_10.36.02,300
2018.02.02_10.36.03,300
2018.02.02_10.36.12,300
2018.02.02_10.36.13,300
2018.02.02_10.36.14,300
2018.02.02_10.36.15,300
2018.02.02_10.36.16,300
2018.02.02_10.36.17,300
2018.02.02_10.36.18,300
2018.02.02_10.36.19,300
2018.02.02_10.36.19,300
2018.02.02_10.36.20,300
2018.02.02_10.36.22,300
2018.02.02_10.36.23,300
2018.02.02_10.36.24,300
2018.02.02_10.36.25,300
2018.02.02_10.36.26,300
2018.02.02_10.36.27,300
2018.02.02_10.36.28,300
2018.02.02_10.36.29,300
2018.02.02_10.36.30,300
2018.02.02_10.36.31,300
2018.02.02_10.36.32,300
2018.02.02_10.36.34,300
2018.02.02_10.36.35,300
2018.02.02_10.36.36,300
2018.02.02_10.36.37,300
2018.02.02_10.36.38,300
2018.02.02_10.36.39,300
2018.02.02_10.36.40,300
2018.02.02_10.36.41,300
2018.02.02_10.36.42,300
2018.02.02_10.36.43,300
2018.02.02_10.36.45,300
