Type,Mobility,Operator,Trace,Total host,Client,Algorithm,Port,Segment,RTT,Throughput,Packets,MOS,Stall Duration,Rep_level,Byte Size,Buffer level,Width,Height
3g,metro,Am,1,1,1,conv,58656,57,10.771,125491.52914597574,416,1.817,2632,751,1061018,10000,512,288
3g,metro,Am,1,1,1,conv,58660,58,64.178,96633.68905900288,208,1.815,0,751,521123,10309,512,288
3g,metro,Am,1,1,1,conv,58664,59,105.963,146444.37294815984,408,1.757,1694,751,1111309,10000,512,288
3g,metro,Am,1,1,1,conv,58668,60,36.328,196451.97388180747,463,1.706,1058,751,1290281,10000,512,288
3g,metro,Am,2,1,1,conv,58698,1,118.69,125617.91864280893,134,1.8780000000000001,0,237,361713,10000,320,180
3g,metro,Am,2,1,1,conv,58702,2,37.44,131988.9878760212,442,2.145,0,751,1177979,20000,512,288
3g,metro,Am,2,1,1,conv,58706,3,211.667,94350.3118324019,295,2.16,0,751,739055,21334,512,288
3g,metro,Am,2,1,1,conv,58710,4,494.126,75156.54958576111,461,2.217,0,751,1108104,15529,512,288
3g,metro,Am,2,1,1,conv,58714,5,51.66,164132.19163861006,259,2.207,0,751,697003,20521,512,288
3g,metro,Am,2,1,1,conv,58718,6,67.458,165293.4061236253,319,2.219,0,751,861234,24411,512,288
3g,metro,Am,2,1,1,conv,58722,7,92.229,170498.47197514476,118,2.201,0,751,482532,30669,512,288
3g,metro,Am,2,1,1,conv,58726,8,95.961,168227.4500158122,359,2.221,0,751,957294,34023,512,288
3g,metro,Am,2,1,1,conv,58730,9,80.837,171016.71356341615,640,2.3409999999999997,0,1085,1717354,32842,640,360
3g,metro,Am,2,1,1,conv,58734,10,78.207,153383.13210325356,176,2.401,0,1085,643961,37505,640,360
3g,metro,Am,2,1,1,conv,58738,11,86.846,152892.70958766868,321,2.443,0,1085,1095529,39191,640,360
3g,metro,Am,2,1,1,conv,58742,12,116.581,79295.98258066515,616,2.481,0,1085,1506876,28860,640,360
3g,metro,Am,2,1,1,conv,58746,13,40.078,57002.948645191034,561,2.434,0,751,1258498,15344,512,288
3g,metro,Am,2,1,1,conv,58750,14,151.263,69611.56945847976,349,2.396,0,751,829086,11544,512,288
3g,metro,Am,2,1,1,conv,58754,15,163.894,84431.97845721114,399,2.229,2008,751,1002419,10000,512,288
3g,metro,Am,2,1,1,conv,58758,16,125.364,104500.22529979606,399,2.133,1420,751,1021124,10000,512,288
3g,metro,Am,2,1,1,conv,58764,17,0.01,118999.64057521125,298,2.127,0,751,831790,10468,512,288
3g,metro,Am,2,1,1,conv,58768,18,48.493,108504.90515026504,281,2.105,0,751,721860,12057,512,288
3g,metro,Am,2,1,1,conv,58772,19,0.01,133589.33745439837,578,2.025,1852,751,1504580,10000,512,288
3g,metro,Am,2,1,1,conv,58776,20,0.055,136961.97405955524,339,2.0469999999999997,0,751,1020574,10816,512,288
3g,metro,Am,2,1,1,conv,58780,21,95.784,94813.62080560943,283,2.042,0,751,716094,11502,512,288
3g,metro,Am,2,1,1,conv,58784,22,23.516,182102.2442113232,519,2.05,0,751,1425736,11653,512,288
3g,metro,Am,2,1,1,conv,58788,23,74.462,171732.22552078092,204,2.042,0,751,545858,16481,512,288
3g,metro,Am,2,1,1,conv,58792,24,19.935,133874.79474983498,287,2.04,0,751,770331,18458,512,288
3g,metro,Am,2,1,1,conv,58796,25,49.305,77975.44738669538,451,2.026,0,751,1108631,11948,512,288
3g,metro,Am,2,1,1,conv,58800,26,0.01,82953.55288860059,457,1.9080000000000001,6876,751,1139718,10000,512,288
3g,metro,Am,2,1,1,conv,58804,27,105.149,121102.33851384286,205,1.905,0,751,759543,11447,512,288
3g,metro,Am,2,1,1,conv,58808,28,0.011,110404.55787260251,454,1.849,2217,751,1153984,10000,512,288
3g,metro,Am,2,1,1,conv,58812,29,86.245,94479.33357670368,350,1.7690000000000001,1963,751,884642,10000,512,288
3g,metro,Am,2,1,1,conv,58816,30,0.011,135093.39654041282,263,1.777,0,751,701956,11493,512,288
3g,metro,Am,2,1,1,conv,58820,31,50.1,119877.10708944876,417,1.7280000000000002,88,751,1081483,10000,512,288
3g,metro,Am,2,1,1,conv,58824,32,70.594,132862.4786953167,462,1.6869999999999998,1950,751,1228094,10000,512,288
3g,metro,Am,2,1,1,conv,58836,35,53.341,107145.16432705658,314,1.5759999999999998,477,751,814132,10000,512,288
3g,metro,Am,2,1,1,conv,58840,36,56.142,112361.91228831434,501,1.5390000000000001,4618,751,1303577,10000,512,288
3g,metro,Am,2,1,1,conv,58844,37,81.013,118551.59103235547,426,1.51,2607,751,1134659,10000,512,288
3g,metro,Am,2,1,1,conv,58848,38,0.01,127455.32464914794,283,1.51,0,751,716852,10612,512,288
3g,metro,Am,2,1,1,conv,58852,39,0.011,88868.72997093496,176,1.511,0,751,412306,12061,512,288
3g,metro,Am,2,1,1,conv,58856,40,55.294,129108.95451008256,186,1.5130000000000001,0,751,481295,15296,512,288
3g,metro,Am,2,1,1,conv,58860,41,0.067,183955.0416114217,278,1.507,0,751,772154,17968,512,288
3g,metro,Am,2,1,1,conv,58864,42,0.009,118801.7927014702,379,1.508,0,751,998753,15352,512,288
3g,metro,Am,2,1,1,conv,58868,43,76.851,106040.01422566033,592,1.472,2527,751,1524296,10000,512,288
3g,metro,Am,2,1,1,conv,58874,44,85.062,76270.45855087199,623,1.44,13617,751,1531561,10000,512,288
3g,metro,Am,2,1,1,conv,58878,45,0.048,160354.93962421722,498,1.422,1745,751,1364588,10000,512,288
3g,metro,Am,2,1,1,conv,58882,46,58.184,114227.62434837832,201,1.422,0,751,517781,11827,512,288
3g,metro,Am,2,1,1,conv,58886,47,21.618,97122.6744381506,288,1.4280000000000002,0,751,736452,10537,512,288
3g,metro,Am,2,1,1,conv,58890,48,130.981,62854.82131429568,356,1.4040000000000001,6503,751,820988,10000,512,288
3g,metro,Am,2,1,1,conv,58894,49,114.905,61016.61316458418,218,1.3880000000000001,2273,751,508267,10000,512,288
3g,metro,Am,2,1,1,conv,58898,50,98.628,70830.33703590637,161,1.3869999999999998,0,560,381453,10661,512,288
3g,metro,Am,2,1,1,conv,58902,51,96.699,82299.25914783942,199,1.3869999999999998,0,560,498770,10489,512,288
3g,metro,Am,2,1,1,conv,58906,52,80.721,85130.96764035871,308,1.374,2463,560,765417,10000,512,288
3g,metro,Am,2,1,1,conv,58910,53,70.525,76175.49562220907,322,1.361,4294,560,783780,10000,512,288
3g,metro,Am,2,1,1,conv,58936,56,0.012,11541.27992552125,246,1.297,91803,379,935328,10000,384,216
3g,metro,Am,3,1,1,conv,58968,1,63.131,227129.59093128305,81,1.8780000000000001,0,237,361713,10000,320,180
3g,metro,Am,3,1,1,conv,58972,2,163.417,152505.03942524135,557,2.407,0,1085,1529691,20000,640,360
3g,metro,Am,3,1,1,conv,58976,3,37.661,189657.91867342358,315,2.503,0,1085,995200,24033,640,360
3g,metro,Am,3,1,1,conv,58980,4,50.744,117935.1543476018,588,2.6060000000000003,0,1085,1514485,20418,640,360
3g,metro,Am,3,1,1,conv,58984,5,38.281,110594.47305078797,391,2.6069999999999998,0,1085,1006289,20444,640,360
3g,metro,Am,3,1,1,conv,58988,6,14.972,147378.14436961972,437,2.638,0,1085,1199268,21373,640,360
3g,metro,Am,3,1,1,conv,58992,7,85.867,122778.3979666081,256,2.633,0,1085,659235,24987,640,360
3g,metro,Am,3,1,1,conv,58996,8,166.586,137827.49030403778,501,2.675,0,1085,1328304,24388,640,360
3g,metro,Am,3,1,1,conv,59000,9,11.726,193779.4195526908,571,2.714,0,1085,1717354,24390,640,360
3g,metro,Am,3,1,1,conv,59004,10,0.01,155445.71824727586,242,2.7310000000000003,0,1085,643961,28236,640,360
3g,metro,Am,3,1,1,conv,59008,11,104.673,199345.0330612582,372,2.745,0,1085,1095529,31544,640,360
3g,metro,Am,3,1,1,conv,59012,12,0.01,97756.46810023137,577,2.7560000000000002,0,1085,1506876,23957,640,360
3g,metro,Am,3,1,1,conv,59018,13,0.011,79383.89803257953,707,2.602,707,1085,1769929,10000,640,360
3g,metro,Am,3,1,1,conv,59022,14,82.903,110693.1077903984,315,2.475,0,751,829086,10993,512,288
3g,metro,Am,3,1,1,conv,59026,15,97.736,71562.32060671625,414,2.292,4752,751,1002419,10000,512,288
3g,metro,Am,3,1,1,conv,59030,16,15.211,157701.36474057086,384,2.262,0,751,1021124,11898,512,288
3g,metro,Am,3,1,1,conv,59034,17,49.608,162131.56810150214,308,2.247,0,751,831790,15035,512,288
3g,metro,Am,3,1,1,conv,59038,18,98.205,161023.28570609848,264,2.226,0,751,721860,18893,512,288
3g,metro,Am,3,1,1,conv,59042,19,24.931,135575.15860305342,571,2.247,0,751,1504580,15968,512,288
3g,metro,Am,3,1,1,conv,59046,20,20.69,183885.19114243766,362,2.242,0,751,1020574,18511,512,288
3g,metro,Am,3,1,1,conv,59050,21,37.821,200916.92267671254,358,2.27,0,1085,1008563,21645,640,360
3g,metro,Am,3,1,1,conv,59054,22,25.79,157375.903741755,712,2.302,0,1085,2001667,16876,640,360
3g,metro,Am,3,1,1,conv,59058,23,155.253,93945.06115638666,310,2.3209999999999997,0,1085,784770,16450,640,360
3g,metro,Am,3,1,1,conv,59062,24,146.254,82668.141749423,436,2.34,0,1085,1081930,11038,640,360
3g,metro,Am,3,1,1,conv,59066,25,262.32,65085.001914653185,481,2.155,8209,751,1108631,10000,512,288
3g,metro,Am,3,1,1,conv,59070,26,79.207,64193.63678045549,482,2.008,10148,751,1139718,10000,512,288
3g,metro,Am,3,1,1,conv,59074,27,77.861,58175.497096186904,335,1.9140000000000001,6279,751,759543,10000,512,288
3g,metro,Am,3,1,1,conv,59078,28,152.117,80888.64481833401,475,1.835,6764,751,1153984,10000,512,288
3g,metro,Am,3,1,1,conv,59082,29,29.293,152247.12960679998,243,1.831,0,560,658633,13241,512,288
3g,metro,Am,3,1,1,conv,59086,30,79.393,147204.7143813999,262,1.834,0,751,701956,16036,512,288
3g,metro,Am,3,1,1,conv,59090,31,38.38,121698.5940117524,412,1.835,0,751,1081483,14538,512,288
3g,metro,Am,3,1,1,conv,59094,32,40.84,183397.8892008102,451,1.83,0,751,1228094,15277,512,288
3g,metro,Am,3,1,1,conv,59098,33,64.693,181382.83603203934,414,1.82,0,751,1137054,16224,512,288
3g,metro,Am,3,1,1,conv,59102,34,0.012,126730.73858396613,515,1.841,0,1085,1368369,11729,640,360
3g,metro,Am,3,1,1,conv,59106,35,102.568,113374.74023233914,314,1.8359999999999999,0,751,814132,11814,512,288
3g,metro,Am,3,1,1,conv,59110,36,40.725,180531.09721227965,478,1.834,0,751,1303577,11805,512,288
3g,metro,Am,3,1,1,conv,59124,39,27.937,72923.9853664965,236,1.876,0,1085,564625,10079,640,360
3g,metro,Am,3,1,1,conv,59128,40,141.209,87302.40749826218,193,1.869,0,751,481295,11311,512,288
3g,metro,Am,3,1,1,conv,59132,41,115.453,78602.24279514805,318,1.784,1900,751,772154,10000,512,288
3g,metro,Am,3,1,1,conv,59136,42,212.507,79899.97147046593,411,1.726,6154,751,998753,10000,512,288
3g,metro,Am,3,1,1,conv,59140,43,50.876,68659.46903890389,638,1.6640000000000001,16702,751,1524296,10000,512,288
3g,metro,Am,3,1,1,conv,59144,44,0.054,72503.85704132802,627,1.6230000000000002,14489,751,1531561,10000,512,288
3g,metro,Am,3,1,1,conv,59148,45,0.011,76504.12963836099,423,1.579,7724,560,1028013,10000,512,288
3g,metro,Am,3,1,1,conv,59152,46,116.032,50667.486666725876,176,1.541,1474,560,387651,10000,512,288
3g,metro,Am,3,1,1,conv,59156,47,0.009,50666.086510158835,246,1.501,6047,560,534946,10000,512,288
3g,metro,Am,3,1,1,conv,59160,48,0.018,31193.532596137327,297,1.464,13956,560,603741,10000,512,288
3g,metro,Am,3,1,1,conv,59164,49,0.051,50911.24666144754,109,1.464,0,379,246247,11521,384,216
3g,metro,Am,3,1,1,conv,59168,50,205.534,47837.00862858,113,1.4480000000000002,0,379,244429,12383,384,216
3g,metro,Am,3,1,1,conv,59172,51,86.286,46260.04092264164,139,1.4480000000000002,0,379,304540,11927,384,216
3g,metro,Am,3,1,1,conv,59176,52,74.473,76354.49281886966,195,1.445,0,379,461431,11959,384,216
3g,metro,Am,3,1,1,conv,59180,53,130.82,94499.08466325096,186,1.44,0,379,476796,12963,384,216
3g,metro,Am,3,1,1,conv,59184,54,44.992,145416.8390217188,227,1.435,0,379,597753,14814,384,216
3g,metro,Am,3,1,1,conv,59188,55,0.055,108618.58722311123,500,1.4040000000000001,1537,560,1306145,10000,512,288
3g,metro,Am,3,1,1,conv,59192,56,94.444,11847.692181726341,774,1.3630000000000002,100222,560,1253887,10000,512,288
3g,metro,Am,3,1,1,conv,59198,57,0.012,21939.36108640915,430,1.337,31994,560,763745,10000,512,288
3g,metro,Am,3,1,1,conv,59202,58,21.228,25622.420140193764,158,1.325,6983,379,282267,10000,384,216
3g,metro,Am,3,1,1,conv,59206,59,0.011,15098.011570292669,385,1.3090000000000002,37214,379,617869,10000,384,216
3g,metro,Am,3,1,1,conv,59210,60,2664.432,11961.989041095578,270,1.291,31693,237,421488,10000,320,180
3g,bus,Am,1,1,1,conv,59238,1,50.656,344985.48326524545,61,1.8780000000000001,0,237,361713,10000,320,180
3g,bus,Am,1,1,1,conv,59242,2,43.698,558195.893763273,509,3.034,0,2357,3312652,20000,1280,720
3g,bus,Am,1,1,1,conv,59246,3,0.009,590979.283519812,324,3.4539999999999997,0,2357,2004739,25009,1280,720
3g,bus,Am,1,1,1,conv,59250,4,34.894,495207.0275527145,669,3.6660000000000004,0,3011,4149237,25967,1280,720
3g,bus,Am,1,1,1,conv,59254,5,41.546,471390.2277705749,402,3.801,0,3011,2330333,30232,1280,720
3g,bus,Am,1,1,1,conv,59258,6,48.695,475385.0653381318,714,3.891,0,3011,3985295,31053,1280,720
3g,bus,Am,1,1,1,conv,59264,7,41.408,484292.11220954143,359,3.9589999999999996,0,3011,2026568,35961,1280,720
3g,bus,Am,1,1,1,conv,59268,8,48.887,356702.908402295,758,4.029,0,3011,3850125,34186,1280,720
3g,bus,Am,1,1,1,conv,59272,9,54.795,250011.15186405712,1424,4.08,0,3011,4746951,24205,1280,720
3g,bus,Am,1,1,1,conv,59276,10,46.176,331464.49673275213,439,4.2410000000000005,0,3011,2112536,26689,1280,720
3g,bus,Am,1,1,1,conv,59280,11,76.239,282343.90561111737,602,4.273,0,2357,2600349,26308,1280,720
3g,bus,Am,1,1,1,conv,59284,12,12.012,235149.2888385768,914,4.309,0,2357,3273312,21044,1280,720
3g,bus,Am,1,1,1,conv,59288,13,70.575,262623.36343814066,1148,4.34,0,2357,3867486,14908,1280,720
3g,bus,Am,1,1,1,conv,59292,14,64.435,284723.18303866393,644,4.3580000000000005,0,2357,2712060,13963,1280,720
3g,bus,Am,1,1,1,conv,59296,15,22.798,268988.67878275865,875,4.3839999999999995,0,2357,3146818,10732,1280,720
3g,bus,Am,1,1,1,conv,59300,16,54.172,249946.4586714505,802,4.039,3009,2357,3056338,10000,1280,720
3g,bus,Am,1,1,1,conv,59304,17,64.927,188373.2607828575,612,3.6069999999999998,1844,1815,1940392,10000,736,414
3g,bus,Am,1,1,1,conv,59308,18,114.974,105755.96136453144,634,3.24,7632,1815,1679128,10000,736,414
3g,bus,Am,1,1,1,conv,59312,19,109.439,269778.34309982514,866,3.009,4237,1815,3379707,10000,736,414
3g,bus,Am,1,1,1,conv,59316,20,20.216,274733.1060132461,640,2.736,498,1815,2383002,10000,736,414
3g,bus,Am,1,1,1,conv,59320,21,35.823,291873.9885655121,411,2.7119999999999997,0,1815,1700199,12358,736,414
3g,bus,Am,1,1,1,conv,59324,22,20.504,298882.33132967376,793,2.573,379,1815,3208284,10000,736,414
3g,bus,Am,1,1,1,conv,59328,23,17.11,316394.0365394393,348,2.544,0,1815,1350801,13793,736,414
3g,bus,Am,1,1,1,conv,59332,24,17.777,216102.41671805736,558,2.557,0,1815,1857024,13114,736,414
3g,bus,Am,1,1,1,conv,59336,25,0.01,523384.7654912903,438,2.559,0,1815,2667945,15057,736,414
3g,bus,Am,1,1,1,conv,59340,26,56.26,411040.20131468406,595,2.614,0,2357,3141502,15310,1280,720
3g,bus,Am,1,1,1,conv,59344,27,0.049,470392.141373665,474,2.661,0,2357,2554367,17745,1280,720
3g,bus,Am,1,1,1,conv,59348,28,40.513,461981.96582704963,647,2.679,0,2357,3905450,17018,1280,720
3g,bus,Am,1,1,1,conv,59352,29,36.86,515946.12379224366,483,2.7119999999999997,0,2357,3069430,18782,1280,720
3g,bus,Am,1,1,1,conv,59356,30,55.81,484571.72319686384,422,2.839,0,3011,2725285,20862,1280,720
3g,bus,Am,1,1,1,conv,59360,31,37.475,517278.7364693168,849,2.88,0,3011,5442062,17898,1280,720
