Type,Mobility,Operator,Trace,Total host,Client,Algorithm,Port,Segment,RTT,Throughput,Packets,MOS,Stall Duration,Rep_level,Byte Size,Buffer level,Width,Height
3g,car,Am,3,1,1,conv,34030,14,22.881,217637.43599648253,774,3.1460000000000004,0,2357,2712060,53255,1280,720
3g,car,Am,3,1,1,conv,34034,15,55.277,392709.1979197204,449,3.142,0,1815,2286470,56053,736,414
3g,car,Am,3,1,1,conv,34038,16,53.113,299837.5917274193,715,3.2239999999999998,0,2357,3056338,54456,1280,720
3g,car,Am,3,1,1,conv,34042,17,38.658,247926.78826586858,651,3.4189999999999996,0,2357,2579182,52546,1280,720
3g,car,Am,3,1,1,conv,34046,18,133.262,162312.1720416318,623,3.38,0,1815,1679128,50670,736,414
3g,car,Am,3,1,1,conv,34050,19,72.346,194316.13859618714,999,3.377,0,1815,3379707,41607,736,414
3g,car,Am,3,1,1,conv,34054,20,139.353,167693.72515090293,821,3.267,0,1815,2383002,35726,736,414
3g,car,Am,3,1,1,conv,34058,21,108.528,232142.39394898343,511,3.2539999999999996,0,1815,1700199,36455,736,414
3g,car,Am,3,1,1,conv,34062,22,22.137,169521.92889577578,1099,3.272,0,1815,3208284,25618,736,414
3g,car,Am,3,1,1,conv,34066,23,40.728,250809.5469508476,147,3.219,0,1085,784770,30588,640,360
3g,car,Am,3,1,1,conv,34070,24,73.928,312944.606565754,284,3.1630000000000003,0,1085,1081930,35231,640,360
3g,car,Am,3,1,1,conv,34074,25,0.009,257662.185259089,777,3.1860000000000004,0,1815,2667945,31960,736,414
3g,car,Am,3,1,1,conv,34080,26,107.948,218584.8403025564,730,3.2039999999999997,0,1815,2492955,28418,736,414
3g,car,Am,3,1,1,conv,34084,27,22.601,163812.54898762275,578,3.21,0,1815,1827457,25104,736,414
3g,car,Am,3,1,1,conv,34088,28,23.653,245814.9057222681,540,3.1860000000000004,0,1085,1651427,26135,640,360
3g,car,Am,3,1,1,conv,34092,29,68.256,202375.52421168034,340,3.158,0,1085,1286021,27511,640,360
3g,car,Am,3,1,1,conv,34096,30,21.703,274972.2904548849,257,3.1260000000000003,0,1085,980951,31549,640,360
3g,car,Am,3,1,1,conv,34100,31,21.104,222195.48981249233,911,3.15,0,1815,2830418,26308,736,414
3g,car,Am,3,1,1,conv,34104,32,0.049,454688.0229579579,225,3.137,0,1085,1646305,30222,640,360
3g,car,Am,3,1,1,conv,34108,33,27.123,403498.4453983343,485,3.156,0,1815,2523130,31390,736,414
3g,car,Am,3,1,1,conv,34112,34,26.554,426436.0674314302,537,3.2119999999999997,0,2357,2834974,32225,1280,720
3g,car,Am,3,1,1,conv,34116,35,20.199,450194.50883290224,517,3.2510000000000003,0,2357,2613562,33854,1280,720
3g,car,Am,3,1,1,conv,34120,36,14.996,428884.8595939833,827,3.312,0,2357,4218413,31322,1280,720
3g,car,Am,3,1,1,conv,34124,37,33.97,364304.6571082184,706,3.343,0,2357,3587056,28760,1280,720
3g,car,Am,3,1,1,conv,34128,38,21.044,173150.30513638473,774,3.372,0,2357,2356489,22294,1280,720
3g,car,Am,3,1,1,conv,34132,39,0.049,245561.66202564066,404,3.398,0,2357,1354564,23911,1280,720
3g,car,Am,3,1,1,conv,34136,40,48.134,219913.26526824263,547,3.4130000000000003,0,2357,1540023,23941,1280,720
3g,car,Am,3,1,1,conv,34140,41,34.131,175876.58503469668,562,3.388,0,1815,1611203,21769,736,414
3g,car,Am,3,1,1,conv,34144,42,53.457,128773.02263215338,852,3.3710000000000004,0,1815,2222261,11378,736,414
3g,car,Am,3,1,1,conv,34148,43,111.351,108075.34999414287,1347,3.055,24023,1815,3468743,10000,736,414
3g,car,Am,3,1,1,conv,34152,44,58.275,183585.21905102255,784,2.8539999999999996,5225,1085,2186147,10000,640,360
3g,car,Am,3,1,1,conv,34156,45,10.994,245574.22213571484,598,2.702,884,1085,1879669,10000,640,360
3g,car,Am,3,1,1,conv,34160,46,20.581,270255.44414668763,207,2.66,0,1085,681615,14089,640,360
3g,car,Am,3,1,1,conv,34164,47,19.967,252611.6391004573,322,2.6510000000000002,0,1085,1091950,16403,640,360
3g,car,Am,3,1,1,conv,34168,48,0.009,239081.9408862451,358,2.654,0,1085,1176473,17058,640,360
3g,car,Am,3,1,1,conv,34172,49,23.443,337901.0435128429,182,2.6439999999999997,0,1085,703289,21484,640,360
3g,car,Am,3,1,1,conv,34176,50,16.076,317825.8343296365,288,2.6489999999999996,0,1815,1176905,24231,736,414
3g,car,Am,3,1,1,conv,34180,51,32.912,336595.02219652635,392,2.655,0,1815,1690444,25442,736,414
3g,car,Am,3,1,1,conv,34186,52,35.313,216663.7828410368,811,2.66,0,1815,2482844,20204,736,414
3g,car,Am,3,1,1,conv,34190,53,73.11,285918.5935621552,710,2.6439999999999997,0,1815,2622544,17378,736,414
3g,car,Am,3,1,1,conv,34194,54,28.088,180878.4235085984,1018,2.487,2887,1815,2963742,10000,736,414
3g,car,Am,3,1,1,conv,34198,55,45.98,178644.9451656721,1576,2.366,20121,1815,4681594,10000,736,414
3g,car,Am,3,1,1,conv,34202,56,32.844,200070.23355344977,1454,2.258,15539,1815,4316037,10000,736,414
3g,car,Am,3,1,1,conv,34206,57,61.421,243977.55318924304,605,2.171,2210,1085,1998697,10000,640,360
3g,car,Am,3,1,1,conv,34210,58,18.608,258812.7997185225,307,2.174,0,1815,1061959,11819,736,414
3g,car,Am,3,1,1,conv,34214,59,30.118,250515.75717554011,1093,2.097,7445,1815,3802510,10000,736,414
3g,car,Am,3,1,1,conv,34218,60,46.343,270374.4569043221,1257,2.035,11044,1815,4585312,10000,736,414
4g,bus,Am,1,1,1,conv,34244,1,52.333,61420.069281191936,100,1.8780000000000001,0,237,361713,10000,320,180
4g,bus,Am,1,1,1,conv,34248,2,46.154,316557.06039324275,110,1.881,0,379,566813,20000,384,216
4g,bus,Am,1,1,1,conv,34252,3,67.164,266852.2017856853,159,2.07,0,751,739055,26515,512,288
4g,bus,Am,1,1,1,conv,34256,4,25.91,299525.76510508946,289,2.145,0,751,1108104,32072,512,288
4g,bus,Am,1,1,1,conv,34260,5,59.106,198412.4840744744,242,2.318,0,1085,1006289,36243,640,360
4g,bus,Am,1,1,1,conv,34264,6,0.011,70278.27335178919,497,2.4090000000000003,0,1085,1199268,25442,640,360
4g,bus,Am,1,1,1,conv,34268,7,256.595,48567.49179216032,297,2.414,0,1085,659235,20704,640,360
4g,bus,Am,1,1,1,conv,34272,8,0.01,53916.983846814735,374,2.34,0,751,957294,11056,512,288
4g,bus,Am,1,1,1,conv,34276,9,166.806,47304.1638086924,568,2.028,16815,751,1213563,10000,512,288
4g,bus,Am,1,1,1,conv,34280,10,76.508,60043.6201319938,206,2.036,0,751,453255,11067,512,288
4g,bus,Am,1,1,1,conv,34284,11,180.525,63311.129654967226,257,1.9509999999999998,21,560,590402,10000,512,288
4g,bus,Am,1,1,1,conv,34288,12,0.052,83335.83426961099,303,1.886,1233,560,838377,10000,512,288
4g,bus,Am,1,1,1,conv,34292,13,19.624,159656.23781332406,347,1.899,0,560,927074,12866,512,288
4g,bus,Am,1,1,1,conv,34296,14,44.59,320744.26714037143,191,1.909,0,751,829086,18969,512,288
4g,bus,Am,1,1,1,conv,34300,15,52.412,371072.42745748354,279,1.9609999999999999,0,1085,1391390,23860,640,360
4g,bus,Am,1,1,1,conv,34304,16,73.022,346040.81815435004,261,2.003,0,1085,1375236,28450,640,360
4g,bus,Am,1,1,1,conv,34310,17,0.009,160295.59154673008,329,2.06,0,1085,1155461,28806,640,360
4g,bus,Am,1,1,1,conv,34314,18,63.044,195455.81156272645,260,2.0580000000000003,0,1085,1020758,31865,640,360
4g,bus,Am,1,1,1,conv,34318,19,147.259,208169.90689362737,723,2.09,0,1085,2083791,30246,640,360
4g,bus,Am,1,1,1,conv,34322,20,0.048,278405.077517275,274,2.121,0,1085,1430118,33391,640,360
4g,bus,Am,1,1,1,conv,34326,21,140.088,186882.02480874734,320,2.146,0,1085,1008563,36075,640,360
4g,bus,Am,1,1,1,conv,34330,22,57.133,178649.56488184753,621,2.162,0,1085,2001667,33069,640,360
4g,bus,Am,1,1,1,conv,34334,23,98.695,157969.92547777775,266,2.164,0,1085,784770,36149,640,360
4g,bus,Am,1,1,1,conv,34338,24,52.029,208441.08640521887,352,2.174,0,1085,1081930,38999,640,360
4g,bus,Am,1,1,1,conv,34342,25,60.132,83739.330347854,638,2.184,0,1085,1553825,28309,640,360
4g,bus,Am,1,1,1,conv,34346,26,0.01,173331.3113505897,528,2.195,0,1085,1535940,26510,640,360
4g,bus,Am,1,1,1,conv,34350,27,34.051,635940.5073955365,129,2.199,0,1085,1084494,32757,640,360
4g,bus,Am,1,1,1,conv,34354,28,20.589,1093694.4950131818,312,2.224,0,1815,2763938,38115,736,414
4g,bus,Am,1,1,1,conv,34358,29,13.645,717882.7433825933,468,2.261,0,3011,3937934,40434,1280,720
4g,bus,Am,1,1,1,conv,34362,30,66.156,150953.5683370749,862,2.329,0,3011,2725285,30040,1280,720
4g,bus,Am,1,1,1,conv,34366,31,11.708,999409.9715361308,606,2.358,0,3011,5442062,32296,1280,720
4g,bus,Am,1,1,1,conv,34370,32,11.161,1181489.504026085,593,2.435,0,3831,5413354,35344,1920,1080
4g,bus,Am,1,1,1,conv,34374,33,18.612,935502.4939358664,642,2.456,0,4281,5753976,36764,1920,1080
4g,bus,Am,1,1,1,conv,34378,34,9.276,884404.2880009898,648,2.653,0,4281,5088976,38542,1920,1080
4g,bus,Am,1,1,1,conv,34382,35,15.097,976007.7915834666,584,2.717,0,4281,4689673,41050,1920,1080
4g,bus,Am,1,1,1,conv,34386,36,10.839,997274.5248068068,880,2.734,0,4281,7585424,40891,1920,1080
4g,bus,Am,1,1,1,conv,34390,37,6.439,845569.5708971238,804,2.75,0,4281,6462240,40510,1920,1080
4g,bus,Am,1,1,1,conv,34394,38,10.226,1007650.69024324,508,2.767,0,4281,4399321,43364,1920,1080
4g,bus,Am,1,1,1,conv,34398,39,23.02,596627.7044338904,446,2.783,0,4281,2632739,46200,1920,1080
4g,bus,Am,1,1,1,conv,34402,40,5.521,1072682.329488397,366,2.8089999999999997,0,4281,2872119,50696,1920,1080
4g,bus,Am,1,1,1,conv,34406,41,26.412,904838.8124304072,537,2.823,0,4281,3919848,53409,1920,1080
4g,bus,Am,1,1,1,conv,34410,42,15.171,1035820.7006280692,627,2.8360000000000003,0,4281,4981391,55612,1920,1080
4g,bus,Am,1,1,1,conv,34414,43,4.08,4812761.9097765535,568,2.8539999999999996,0,4281,8408931,60000,1920,1080
4g,bus,Am,1,1,1,conv,34418,44,2.219,3261781.037253556,567,2.866,0,4281,8918078,60000,1920,1080
4g,bus,Am,1,1,1,conv,34422,45,3.738,4287494.707034748,460,2.878,0,4281,7158472,60000,1920,1080
4g,bus,Am,1,1,1,conv,34426,46,2.06,5012769.971118031,229,2.89,0,4281,2396646,60000,1920,1080
4g,bus,Am,1,1,1,conv,34430,47,0.983,4249566.967198833,370,2.9010000000000002,0,4281,6219080,60000,1920,1080
4g,bus,Am,1,1,1,conv,34434,48,1.471,2886598.370415685,383,2.912,0,4281,5369509,60000,1920,1080
4g,bus,Am,1,1,1,conv,34438,49,2.794,2630904.8991928454,248,2.923,0,4281,2641585,60000,1920,1080
4g,bus,Am,1,1,1,conv,34442,50,10.405,4443093.951989993,431,2.972,0,4281,3001799,60000,1920,1080
4g,bus,Am,1,1,1,conv,34446,51,1.388,4124670.807556536,308,2.9819999999999998,0,4281,3974811,60000,1920,1080
4g,bus,Am,1,1,1,conv,34452,52,0.048,2845391.122479074,387,2.992,0,4281,6010291,60000,1920,1080
4g,bus,Am,1,1,1,conv,34456,53,3.485,2841978.0072630164,451,3.003,0,4281,6027275,60000,1920,1080
4g,bus,Am,1,1,1,conv,34460,54,20.038,4328180.231567622,607,3.017,0,4281,6451133,60000,1920,1080
4g,bus,Am,1,1,1,conv,34464,55,3.994,2203619.560544102,684,3.0260000000000002,0,4281,8000494,58680,1920,1080
4g,bus,Am,1,1,1,conv,34468,56,5.97,2409093.7719937917,667,3.035,0,4281,8338140,60000,1920,1080
4g,bus,Am,1,1,1,conv,34472,57,2.708,2904611.8327802382,546,3.043,0,4281,6172110,60000,1920,1080
4g,bus,Am,1,1,1,conv,34476,58,0.051,839583.8042985519,454,3.057,0,4281,3509441,59101,1920,1080
4g,bus,Am,1,1,1,conv,34480,59,6.191,2648889.7529711914,695,3.076,0,4281,7452474,60000,1920,1080
4g,bus,Am,1,1,1,conv,34484,60,3.237,2448127.8732319674,623,3.0839999999999996,0,4281,8133626,60000,1920,1080
4g,bus,Am,2,1,1,conv,34510,1,62.649,183235.3542737838,94,1.8780000000000001,0,237,361713,10000,320,180
4g,bus,Am,2,1,1,conv,34514,2,12.159,265393.0446506106,379,2.407,0,1085,1529691,20000,640,360
4g,bus,Am,2,1,1,conv,34518,3,0.01,139683.24041913546,360,2.503,0,1085,995200,21300,640,360
4g,bus,Am,2,1,1,conv,34522,4,21.045,271554.4504044518,319,2.6060000000000003,0,1085,1514485,25033,640,360
4g,bus,Am,2,1,1,conv,34526,5,44.249,115466.706038412,386,2.6069999999999998,0,1085,1006289,24509,640,360
4g,bus,Am,2,1,1,conv,34530,6,27.671,85074.70690440887,483,2.638,0,1085,1199268,19403,640,360
4g,bus,Am,2,1,1,conv,34534,7,62.09,214197.71432097926,173,2.633,0,1085,659235,25414,640,360
4g,bus,Am,2,1,1,conv,34538,8,14.862,119940.17291785404,436,2.675,0,1085,1328304,23348,640,360
4g,bus,Am,2,1,1,conv,34542,9,22.893,462245.8706589237,261,2.714,0,1085,1717354,28641,640,360
4g,bus,Am,2,1,1,conv,34546,10,24.917,509985.0135732851,88,2.7310000000000003,0,1085,643961,36340,640,360
4g,bus,Am,2,1,1,conv,34550,11,33.325,1011748.402588192,182,2.827,0,1815,1827198,43438,736,414
4g,bus,Am,2,1,1,conv,34554,12,12.147,867630.2789458308,442,2.968,0,3011,4145427,47489,1280,720
4g,bus,Am,2,1,1,conv,34558,13,24.069,791043.1353799754,753,3.214,0,3831,6346568,48225,1920,1080
4g,bus,Am,2,1,1,conv,34562,14,22.497,1047941.7766131131,490,3.347,0,4281,5015348,52170,1920,1080
4g,bus,Am,2,1,1,conv,34568,15,0.054,820640.6601454203,630,3.417,0,4281,5773028,53793,1920,1080
4g,bus,Am,2,1,1,conv,34572,16,13.575,860656.403846089,631,3.465,0,4281,5612575,55822,1920,1080
4g,bus,Am,2,1,1,conv,34576,17,5.343,483817.5013184101,654,3.508,0,4281,4724519,54634,1920,1080
4g,bus,Am,2,1,1,conv,34580,18,15.289,1554703.1128741554,310,3.5469999999999997,0,4281,3932339,60000,1920,1080
4g,bus,Am,2,1,1,conv,34584,19,0.051,1287533.973442184,741,3.5860000000000003,0,4281,8094841,60000,1920,1080
4g,bus,Am,2,1,1,conv,34588,20,0.049,791966.3474014213,710,3.6510000000000002,0,4281,5825938,58520,1920,1080
4g,bus,Am,2,1,1,conv,34592,21,40.999,512819.45555665967,607,3.7119999999999997,0,4281,4004497,58980,1920,1080
4g,bus,Am,2,1,1,conv,34596,22,0.048,762225.2690182392,888,3.74,0,4281,7429905,57410,1920,1080
4g,bus,Am,2,1,1,conv,34600,23,13.316,1735673.052477306,292,3.786,0,4281,4177908,60000,1920,1080
4g,bus,Am,2,1,1,conv,34604,24,12.562,1602836.4273250012,389,3.812,0,4281,4978217,60000,1920,1080
4g,bus,Am,2,1,1,conv,34608,25,4.505,2411862.0738824843,360,3.8360000000000003,0,4281,6088967,60000,1920,1080
4g,bus,Am,2,1,1,conv,34612,26,24.29,941402.465386269,622,3.858,0,4281,5502279,58282,1920,1080
4g,bus,Am,2,1,1,conv,34616,27,62.832,227748.63238514637,1289,3.88,0,4281,4792586,45183,1920,1080
4g,bus,Am,2,1,1,conv,34620,28,43.296,1006603.2629728364,776,3.904,0,4281,7269652,45788,1920,1080
4g,bus,Am,2,1,1,conv,34624,29,26.852,1167344.1547144223,553,3.923,0,4281,5743267,48650,1920,1080
4g,bus,Am,2,1,1,conv,34628,30,18.539,185087.42383616322,926,3.944,0,4281,3912788,35231,1920,1080
4g,bus,Am,2,1,1,conv,34632,31,152.26,133269.86378516426,2641,3.515,23211,4281,7434132,10000,1920,1080
4g,bus,Am,2,1,1,conv,34636,32,33.197,424957.01169296156,1180,3.325,6552,4281,5982919,10000,1920,1080
4g,bus,Am,2,1,1,conv,34640,33,26.532,447380.4434245225,1081,3.16,5302,4281,5753976,10000,1920,1080
4g,bus,Am,2,1,1,conv,34644,34,40.887,487581.7665992568,907,3.02,2902,4281,5088976,10000,1920,1080
4g,bus,Am,2,1,1,conv,34648,35,12.956,628581.2318181605,735,3.037,0,4281,4689673,10030,1920,1080
4g,bus,Am,2,1,1,conv,34652,36,33.134,530322.6679666442,1242,2.878,6938,4281,7585424,10000,1920,1080
4g,bus,Am,2,1,1,conv,34658,37,25.725,604606.2403934916,994,2.759,3333,4281,6462240,10000,1920,1080
4g,bus,Am,2,1,1,conv,34662,38,32.058,251646.5819578809,1111,2.634,10674,4281,4399321,10000,1920,1080
4g,bus,Am,2,1,1,conv,34666,39,4.585,1372781.9904713596,227,2.647,0,3831,2343490,15518,1920,1080
4g,bus,Am,2,1,1,conv,34670,40,12.444,880971.1850802456,354,2.68,0,4281,2872119,19430,1920,1080
4g,bus,Am,2,1,1,conv,34674,41,28.095,1088878.617572118,434,2.697,0,4281,3919848,22917,1920,1080
4g,bus,Am,2,1,1,conv,34678,42,13.121,900286.895948487,610,2.7110000000000003,0,4281,4981391,24426,1920,1080
4g,bus,Am,2,1,1,conv,34682,43,12.326,1120526.6710781562,858,2.714,0,4281,8408931,23942,1920,1080
4g,bus,Am,2,1,1,conv,34686,44,0.048,1010478.6863996772,925,2.72,0,4281,8918078,22001,1920,1080
4g,bus,Am,2,1,1,conv,34690,45,18.906,1002221.2481297682,760,2.727,0,4281,7158472,21720,1920,1080
4g,bus,Am,2,1,1,conv,34694,46,7.87,838577.8465687304,249,2.733,0,4281,2396646,25697,1920,1080
4g,bus,Am,2,1,1,conv,34698,47,6.526,1239376.9342518768,593,2.75,0,4281,6219080,27415,1920,1080
4g,bus,Am,2,1,1,conv,34702,48,10.879,1405803.2442938448,511,2.7560000000000002,0,4281,5369509,30223,1920,1080
4g,bus,Am,2,1,1,conv,34706,49,7.51,1629275.5369687744,196,2.7689999999999997,0,4281,2641585,35173,1920,1080
4g,bus,Am,2,1,1,conv,34710,50,19.391,1476801.31917347,237,2.7739999999999996,0,4281,3001799,39679,1920,1080
4g,bus,Am,2,1,1,conv,34714,51,8.308,1405006.5142227786,344,2.779,0,4281,3974811,43344,1920,1080
4g,bus,Am,2,1,1,conv,34718,52,12.234,1436315.3954295637,535,2.784,0,4281,6010291,45607,1920,1080
4g,bus,Am,2,1,1,conv,34722,53,11.433,1769751.1866361543,475,2.7880000000000003,0,4281,6027275,48563,1920,1080
4g,bus,Am,2,1,1,conv,34726,54,17.303,1161726.5565209559,609,2.793,0,4281,6451133,49299,1920,1080
4g,bus,Am,2,1,1,conv,34730,55,8.295,1242834.7694034122,811,2.7969999999999997,0,4281,8000494,49036,1920,1080
4g,bus,Am,2,1,1,conv,34734,56,7.26,1342345.176244718,844,2.802,0,4281,8338140,48987,1920,1080
4g,bus,Am,2,1,1,conv,34738,57,7.231,1056237.4865239488,651,2.806,0,4281,6172110,49219,1920,1080
4g,bus,Am,2,1,1,conv,34742,58,4.68,1039833.2553137277,413,2.819,0,4281,3509441,51856,1920,1080
4g,bus,Am,2,1,1,conv,34746,59,0.874,1307061.327556519,657,2.823,0,4281,7452474,52001,1920,1080
4g,bus,Am,2,1,1,conv,34750,60,11.092,962907.3800851149,971,2.827,0,4281,8133626,49354,1920,1080
4g,bus,Am,3,1,1,conv,34776,1,11.829,1886989.979458411,79,1.8780000000000001,0,237,361713,10000,320,180
4g,bus,Am,3,1,1,conv,34780,2,3.723,2184688.9939815267,398,3.029,0,4281,5083188,20000,1920,1080
4g,bus,Am,3,1,1,conv,34784,3,17.313,1717415.3709552109,272,3.448,0,4281,4255058,26944,1920,1080
4g,bus,Am,3,1,1,conv,34788,4,16.627,1392392.447290895,521,3.68,0,4281,6169161,31871,1920,1080
4g,bus,Am,3,1,1,conv,34792,5,20.878,994138.6775522295,326,3.8280000000000003,0,4281,3033758,38116,1920,1080
4g,bus,Am,3,1,1,conv,34796,6,11.941,1213186.857524925,610,3.932,0,4281,5893165,42490,1920,1080
4g,bus,Am,3,1,1,conv,34800,7,7.718,1333751.40314945,252,4.016,0,4281,3169830,49285,1920,1080
4g,bus,Am,3,1,1,conv,34806,8,5.392,3229325.5737187145,333,4.095,0,4281,5664138,56656,1920,1080
4g,bus,Am,3,1,1,conv,34810,9,0.049,598167.7640074604,913,4.148,0,4281,6688597,54535,1920,1080
4g,bus,Am,3,1,1,conv,34814,10,70.825,359058.3498148172,656,4.345,0,4281,3013081,55038,1920,1080
4g,bus,Am,3,1,1,conv,34818,11,0.054,668118.5308967357,713,4.391,0,4281,4955911,55573,1920,1080
4g,bus,Am,3,1,1,conv,34822,12,25.255,1299004.0002452426,505,4.427,0,4281,5868640,59937,1920,1080
4g,bus,Am,3,1,1,conv,34826,13,14.543,1150778.923580333,679,4.457,0,4281,7130946,60000,1920,1080
4g,bus,Am,3,1,1,conv,34830,14,17.524,1221073.2433648398,481,4.484,0,4281,5015348,60000,1920,1080
4g,bus,Am,3,1,1,conv,34834,15,39.196,1010264.9480024213,650,4.513,0,4281,5773028,60000,1920,1080
4g,bus,Am,3,1,1,conv,34838,16,21.18,840373.754310756,626,4.534,0,4281,5612575,60000,1920,1080
4g,bus,Am,3,1,1,conv,34842,17,8.54,478127.90281954507,747,4.553,0,4281,4724519,57470,1920,1080
4g,bus,Am,3,1,1,conv,34846,18,18.099,1019481.1709493684,391,4.569,0,4281,3932339,60000,1920,1080
4g,bus,Am,3,1,1,conv,34850,19,38.439,820141.7055525825,941,4.586,0,4281,8094841,56529,1920,1080
4g,bus,Am,3,1,1,conv,34862,22,20.735,762770.1190701306,943,4.646,0,4281,7429905,51817,1920,1080
4g,bus,Am,3,1,1,conv,34866,23,28.859,528749.0219150508,650,4.657,0,4281,4177908,52018,1920,1080
4g,bus,Am,3,1,1,conv,34870,24,42.622,852516.0089422327,599,4.667,0,4281,4978217,54273,1920,1080
4g,bus,Am,3,1,1,conv,34874,25,15.267,831434.6389954719,724,4.676,0,4281,6088967,54981,1920,1080
4g,bus,Am,3,1,1,conv,34878,26,39.341,610103.9121796943,778,4.685,0,4281,5502279,53849,1920,1080
4g,bus,Am,3,1,1,conv,34882,27,20.478,646948.820186355,664,4.692,0,4281,4792586,54278,1920,1080
4g,bus,Am,3,1,1,conv,34886,28,0.011,399533.4667149193,1477,4.7,0,4281,7269652,42938,1920,1080
4g,bus,Am,3,1,1,conv,34890,29,49.965,258971.60827849703,1543,4.707,0,4281,5743267,28295,1920,1080
4g,bus,Am,3,1,1,conv,34894,30,50.013,305802.02116255485,859,4.713,0,4281,3912788,23173,1920,1080
4g,bus,Am,3,1,1,conv,34898,31,27.199,409802.0789739849,1324,4.718999999999999,0,3831,6538043,14823,1920,1080
4g,bus,Am,3,1,1,conv,34902,32,19.522,396963.55724606116,1052,4.433,1306,3831,5413354,10000,1920,1080
4g,bus,Am,3,1,1,conv,34906,33,35.125,358150.69312386663,775,4.084,3774,3011,4024194,10000,1280,720
4g,bus,Am,3,1,1,conv,34910,34,8.932,362694.94780202466,724,3.847,2592,3011,3607108,10000,1280,720
4g,bus,Am,3,1,1,conv,34916,35,35.351,129199.78522722195,1167,3.4789999999999996,18676,3011,3343269,10000,1280,720
4g,bus,Am,3,1,1,conv,34920,36,0.01,119737.936758469,1532,3.22,28978,2357,4218413,10000,1280,720
4g,bus,Am,3,1,1,conv,34924,37,51.78,100659.54863211617,1377,3.014,28465,2357,3587056,10000,1280,720
4g,bus,Am,3,1,1,conv,34928,38,24.201,98870.79612525667,649,2.786,10586,1815,1751162,10000,736,414
4g,bus,Am,3,1,1,conv,34932,39,26.815,755044.8650772858,150,2.7260000000000004,0,1815,922019,15879,736,414
4g,bus,Am,3,1,1,conv,34936,40,19.421,569144.598298235,243,2.812,0,2357,1540023,20265,1280,720
4g,bus,Am,3,1,1,conv,34940,41,15.552,300639.86321981,591,2.8360000000000003,0,3011,2706629,18401,1280,720
4g,bus,Am,3,1,1,conv,34944,42,350.437,230359.75877525157,821,2.8569999999999998,0,2357,2836118,12701,1280,720
4g,bus,Am,3,1,1,conv,34948,43,21.833,297989.9490717297,1142,2.678,6011,2357,4644609,10000,1280,720
4g,bus,Am,3,1,1,conv,34952,44,49.94,321428.1308033219,1143,2.5780000000000003,8088,2357,4793513,10000,1280,720
4g,bus,Am,3,1,1,conv,34956,45,47.772,285822.12680191034,1071,2.489,7526,2357,4076849,10000,1280,720
4g,bus,Am,3,1,1,conv,34960,46,28.524,233044.16029486372,405,2.494,0,2357,1325533,11036,1280,720
4g,bus,Am,3,1,1,conv,34964,47,89.983,149875.99131846766,1053,2.401,12249,2357,2998354,10000,1280,720
4g,bus,Am,3,1,1,conv,34968,48,31.543,210344.92871131847,675,2.306,3032,1815,2036786,10000,736,414
4g,bus,Am,3,1,1,conv,34972,49,52.688,250214.45456376442,395,2.281,0,1815,1227195,11638,736,414
4g,bus,Am,3,1,1,conv,34976,50,18.685,331041.3272599391,300,2.298,0,1815,1176905,14551,736,414
4g,bus,Am,3,1,1,conv,34980,51,17.742,222883.91525641808,508,2.2680000000000002,0,1815,1690444,13433,736,414
4g,bus,Am,3,1,1,conv,34986,52,0.01,387534.1092332001,554,2.263,0,1815,2482844,12421,736,414
4g,bus,Am,3,1,1,conv,34990,53,30.775,592138.7392858715,421,2.238,0,1815,2622544,14262,736,414
4g,bus,Am,3,1,1,conv,34994,54,0.049,824038.5758911329,381,2.266,0,2357,3249456,16658,1280,720
4g,bus,Am,3,1,1,conv,34998,55,26.131,402090.1249374572,1366,2.186,3526,3011,6567842,10000,1280,720
4g,bus,Am,3,1,1,conv,35002,56,14.461,619304.6448159831,1006,2.1390000000000002,4597,3011,6660677,10000,1280,720
4g,bus,Am,3,1,1,conv,35006,57,92.307,898597.3284622871,584,2.168,0,3011,4601376,10735,1280,720
4g,bus,Am,3,1,1,conv,35010,58,10.767,738823.3907221475,489,2.213,0,4281,3509441,11936,1920,1080
4g,bus,Am,3,1,1,conv,35014,59,15.628,564429.2941016536,1220,2.1319999999999997,5303,4281,7452474,10000,1920,1080
4g,bus,Am,3,1,1,conv,35018,60,0.009,861957.8925750197,1059,2.0909999999999997,4490,4281,8133626,10000,1920,1080
4g,bus,Bm,1,1,1,conv,35048,1,11.227,2296111.146355389,66,1.8780000000000001,0,237,361713,10000,320,180
4g,bus,Bm,1,1,1,conv,35052,2,2.544,2426256.713665307,471,3.029,0,4281,5083188,20000,1920,1080
4g,bus,Bm,1,1,1,conv,35056,3,5.215,3633221.0567658367,244,3.448,0,4281,4255058,28231,1920,1080
4g,bus,Bm,1,1,1,conv,35060,4,3.39,4190615.2122924263,260,3.68,0,4281,6169161,36044,1920,1080
4g,bus,Bm,1,1,1,conv,35064,5,0.049,5729869.330296523,202,3.8280000000000003,0,4281,3033758,44767,1920,1080
4g,bus,Bm,1,1,1,conv,35068,6,0.869,4294049.713833969,337,3.932,0,4281,5893165,52578,1920,1080
4g,bus,Bm,1,1,1,conv,35072,7,5.559,3378483.8011439755,245,4.016,0,4281,3169830,60000,1920,1080
4g,bus,Bm,1,1,1,conv,35076,8,7.51,1688291.9508745682,562,4.095,0,4281,5664138,60000,1920,1080
4g,bus,Bm,1,1,1,conv,35080,9,0.011,2824856.356729431,617,4.148,0,4281,6688597,60000,1920,1080
